"","LumA_1","Normal","Basal","LumB","LumA_2"
"LAMC2",2.12223013972171e-08,0.293132806737176,0.183196621482218,0.153063230217273,8.79040926677485e-06
"SEC61A1",0.383822423293228,0.0332180295169635,1.28286542752794,0.906050271236215,0.211159114468115
"ATP2B4",0.0493227697302568,0.410411265431864,0.00725858271946942,0.685420436456526,0.251448018551896
"YIPF1",1.07395094326545,0.0119921350255263,0.561582107037708,0.353497785710109,0.696833618380873
"NDC1",0.013231620810097,0.0124540979402061,0.443677799465899,0.906087944532253,0.00861686974822981
"ALDH18A1",0.677888846301971,0.0200807993032798,0.847619591247623,1.31939292679879,0.054959461777319
"YBX3",8.56168740597357e-06,0.459994239304128,0.740650766998594,0.0419649879168399,0.00264694090849589
"WNK1",0.131091783044191,0.0926413771814476,0.216718650433347,2.11403782728097,0.242862671196807
"OGFR",1.57833724126592,0.167183608580506,1.5929607253825,0.000617095827879597,0.0698866318006456
"PTPRU",0.0346742995063156,0.121532252308577,1.28694537320905,0.116422836672515,0.43525389800423
"COL11A1",0.146687697184905,1.19351439577505e-06,0.0511763896902607,0.741637351909594,0.307852463742999
"MPC1",0.411511076055063,0.777043918907918,1.42891605560334,0.842708996774466,0.260603965453027
"MRPS35",0.43571633319674,0.000664919776783657,0.544269544161209,1.02016975975243,0.0999866406902764
"CDH3",1.25977648494097e-12,0.305529376259856,1.03777732933137,0.131938420362468,2.21137852628276e-07
"GPBP1",2.14099347821403,0.345625352466757,0.345188110680843,2.51440936719381,0.790699416469213
"DGAT2",6.60807874719239e-10,0.523459540857686,2.18324614288976e-07,8.91840382124502e-05,8.75326119543664e-06
"CS",0.579659320526957,0.351551873497558,0.905753454844933,2.08593953959979,0.999881992283059
"VMP1",0.426207129405918,0.00193917628635736,0.224571264445006,0.300901412539241,0.277687993308009
"APPBP2",0.0620946845975099,0.00014772794698337,0.0645898082581732,0.63343273047432,0.41511108187117
"EIF4B",1.22277962447547,0.735418311714995,0.113501815048729,0.866379219149711,1.63071566050925
"RPL18",1.44658192060988,0.612398600579523,1.44268124715516,0.000822436628744438,0.0347797793086591
"ISOC2",0.609082600289782,0.0388082986202197,0.695801556771021,0.000310338534909599,0.025027035217859
"U2AF2",0.786830182697067,0.0125353304389881,0.805023633676113,0.315422030330816,0.193550412242536
"MED29",1.13109154533636,0.0435446880066545,0.761510807517808,0.428427267191809,0.557263126458757
"GPC1",0.521622744045852,0.122369625230224,0.478462910292118,0.00910917551467707,0.0695944260997893
"LIMCH1",0.110264987479224,0.576256290030872,0.00203482964769872,0.802749578150998,0.924916178611461
"INTS13",0.00104562817632652,0.0293234092692392,0.881480287168307,0.839071911603683,0.0213731432389094
"TM7SF3",0.0129360891979576,0.0390847911116086,0.574138367786176,1.41277333769367,0.110717962553001
"CCN5",0.195773025067827,0.359336046990028,0.0137848616663595,0.00356315150510824,0.19407345911705
"NGFR",0.0345977181946232,0.883710058715594,4.4620026751014e-05,0.000522808733053011,0.0616247942806182
"TNPO3",0.173498342432312,0.105828092824597,0.500740701699028,1.13810225888352,0.0358518687969095
"SLC12A2",0.123077071410017,0.012197409756545,0.000118686147446072,0.419560461282937,0.136388823146408
"EYA2",0.0119411977048952,0.281026128050827,0.716822440825248,0.389364945203814,0.112132377358499
"CNN2",0.495097095333955,1.0160274076575,2.02192004047287,0.433888326767122,1.10564204958829
"BTBD1",0.260897696566052,0.0943227663811019,0.307263213039285,1.23499246379415,0.480938759094732
"BCAS1",0.77358244668647,6.29893242816277e-10,0.000443789102024136,0.208909971775248,0.0745014559296295
"CHI3L2",7.86137508290425e-12,0.0625987192628443,0.386824263428232,0.0300600973331704,7.92741130941913e-09
"SBNO2",1.59454612564591,0.373393927186323,1.49979504682617,0.223663335195722,0.310641187395507
"HMG20B",2.15227529998359,0.0667744452011369,1.361621674047,0.00407561125540559,0.0344348957263552
"AP3D1",2.47238931182251,0.35842957875085,1.15852982951704,1.66390184605427,0.109688711399305
"NHERF2",1.30116356796621,0.115376214790156,0.354919158139389,0.000184090056636578,0.0349879675563512
"IPO5",0.0180527331006735,0.314710301495373,0.214422846469153,1.20504629713962,0.0217609495116533
"OAT",0.56376248373848,0.341123390529942,0.752333711595942,1.43944217249051,0.28230982719645
"WDR18",2.06945387712357,0.243490211736784,1.82959660967984,0.000590087296282889,0.00700006880464212
"ERBB3",2.78187353898306,0.000919956140117341,0.0552661188858261,1.41639628175403,0.440948989369236
"KARS1",0.00675215218816506,0.464615052448444,1.83679349181472,0.858103278789636,0.144768348835888
"NDUFB4",1.53100951566749,0.0110849102780421,2.07187079891165,0.61334964856436,0.89013346304493
"MYLK",3.06963036849962e-06,1.20940915893187,2.57744080978239e-06,0.198950868151124,0.0612385410240784
"ZC3H15",0.331547763166892,0.122608112912757,1.23509960796064,2.3981331508421,0.274761794136685
