"","Basal","none","LumA_Normal","Her2","LumB"
"OGFR",0.198240433805005,0.0843770914627281,0.146064714545375,0.0145855571651546,0.116795942827474
"PTPRU",0.0145297132747417,0.0382137886932471,0.0953630820384218,0.000555549209153723,0.203225989831851
"COL11A1",0.0488186190539507,0.0404602897832401,0.00365084156312985,0.100447062769657,0.0755300829105363
"MPC1",0.193969167917815,0.140831560044787,0.0612840166086672,0.167326605639342,0.094041003116616
"MRPS35",0.119894626206416,0.00499818619039695,0.0629756796458139,0.138297934164562,0.0614396393255409
"CDH3",0.218831047025882,7.12884967361334e-07,0.000276103240950513,0.000153855075852405,0.0114069068312476
"GPBP1",0.218855188599359,0.193474374261819,0.18482279248607,0.481261240723832,0.0630380423559166
"DGAT2",0.0643952225616453,0.00110883304708856,0.00191514228631345,0.00118338937738871,0.00114832533788014
"CS",0.110652688764798,0.0313722617438199,0.0904462618441014,0.395332712304046,0.287974725040783
"VMP1",0.00262163930232628,0.0525561516990563,0.0384638056176017,0.129006174357022,0.00714214363818173
"APPBP2",0.000385912901023749,0.0352587463002511,0.0304705149619916,0.078050153549598,0.0953653237208935
"EIF4B",0.108934798848664,0.087573179147874,0.27967497659484,0.145311821437698,0.229266289603609
"RPL18",0.183470163828207,0.0682830377178453,0.0889869497650591,0.0617038066242282,0.160733786914806
"ISOC2",0.0580465389312897,0.0375605799528427,0.0186725449868461,0.00822334371805693,0.0974311204759297
"U2AF2",0.113944768401986,0.00160424843884677,0.0143985417995386,0.145746813017892,0.0870004942196502
"MED29",0.0629143063436919,0.0942689792366989,0.125478930896689,0.0549170186057831,0.18388915557999
"GPC1",0.0829347392793135,0.0332571473720627,0.0317993138870419,0.0119674225416245,0.0405930556125648
"LIMCH1",0.14372371553428,0.129880911300833,0.00409097469702142,0.0695210424758361,0.12172651499631
"INTS13",0.18102678051587,0.00386656228888324,0.00625115101510026,0.000506601143352731,0.131220951770915
"TM7SF3",0.0119573680583328,0.0423857286447839,0.0472668815259763,0.036337805413734,0.268829015889078
"CCN5",0.0164907814289682,0.0398626879123744,0.00851703768500691,0.0507799638949615,0.0146608567290735
"NGFR",0.0640789888958735,0.00141765905880848,0.058556865755523,0.0146535568406376,0.0207172446490875
"TNPO3",0.167909282935781,0.054812630152691,0.0435431298144112,0.0776097913632568,0.0313693500776698
"SLC12A2",0.014497005602648,0.0137574760350779,0.0165742659776919,0.0754549778553958,0.00989187936164581
"EYA2",0.108200815287386,0.0115278080191294,0.0233412005646807,0.00570993893755543,0.111480321357851
"CNN2",0.445224328263123,0.154314471917658,0.104024684619589,0.0140137463274716,0.219206795658651
"BTBD1",0.00811875752994078,0.107699619391933,0.0540829801206208,0.0768537528605317,0.214113127681604
"BCAS1",0.00517221036709686,0.0936598165354923,0.0280952204446677,0.0450429119104431,0.012387228593736
"CHI3L2",0.0764601301638315,5.95436792646652e-05,0.000177930676837844,5.69506481680105e-05,0.00295995763873808
"SBNO2",0.116615617371045,0.173990711895962,0.0631480817927239,0.107001226166342,0.216926106197609
"HMG20B",0.134675672297124,0.0569187014005881,0.16838969536171,0.132674803829252,0.0843317469297108
"AP3D1",0.4245145783943,0.22485169945184,0.124644532440963,0.227444770494872,0.0208936207051682
"NHERF2",0.0284355939814694,0.146790701891936,0.0692546882550306,0.0108797844493955,0.0351764866820594
"IPO5",0.0415072758303357,0.0132280734790295,0.000106080321367334,0.050747235090417,0.223269959326828
"OAT",0.0716983857182335,0.118110084710083,0.0748298818535818,0.177011289636364,0.175179058610456
"WDR18",0.282028301728699,0.191066457950318,0.124416458111444,0.0253182685981923,0.0443177339940784
"ERBB3",0.0595503669028424,0.248863390042964,0.18354374531366,0.295394022515758,0.0583105741582913
"KARS1",0.0856717721723226,0.059912099986588,0.0305471748994594,0.0475888231524781,0.345737065204628
"NDUFB4",0.122037671590005,0.0269663470120885,0.137623986178018,0.336318546081667,0.280451314636431
"MYLK",0.056102495601787,0.0107183427377627,0.0793846447017766,0.0227397779495572,0.0436158567771293
"ZC3H15",0.318727187199781,0.0763546202912536,0.0741144002377741,0.174723643440734,0.191801254469294
"COL17A1",0.0124929461815027,0.00164389456339863,0.0453481118194198,0.00324545425083196,0.00440516717365365
"TLE2",0.211789757509229,0.0124738023844982,0.094751529430334,0.0866836679228403,0.11028355132674
"FAM107B",0.0360724262641146,0.0223047531855398,0.0400444542337718,0.0325265425118258,0.0230429554550869
"ME1",0.0465904739673451,0.000483401082461328,0.000831495027102718,0.0250555374123995,0.0634097876931433
"YBX1",0.0818275262008513,0.00294507895149765,0.000579959795866643,0.00195304362076824,0.0847323411526741
"PPP2R5A",0.0141336737566603,0.0544466885464591,0.151180023385374,0.282713186656227,0.0824523878963819
"ELOVL1",0.243438897021075,0.0622656034564276,0.00827533716355037,0.0530499907088405,0.305226501731963
